icao24,origin_country,velocity,on_ground
801783,India,173.58,False
a05827,United States,267.26,False
4a2aac,Romania,237.72,False
a6afaa,United States,162.15,False
801786,India,186.67,False
aaca75,United States,0.0,True
a4d967,United States,71.21,False
407b70,United Kingdom,263.66,False
ad3125,United States,66.13,False
4cc279,Iceland,0.0,True
a9b4de,United States,207.75,False
ac0a75,United States,178.05,False
a4634b,United States,170.73,False
a2ccff,United States,73.97,False
acd4d4,United States,166.06,False
3c656b,Germany,216.87,False
408251,United Kingdom,131.53,False
a5cc13,United States,215.74,False
a5cc12,United States,194.56,False
39e695,France,77.95,False
39e694,France,231.53,False
ae4a0a,United States,163.12,False
3c656e,Germany,239.72,False
39e698,France,190.1,False
408254,United Kingdom,52.39,False
801793,India,141.41,False
a390d7,United States,48.44,False
a390d5,United States,157.35,False
a3ecce,United States,160.3,False
a4b314,United States,34.39,False
a3a65f,United States,236.33,False
a400b2,United States,228.36,False
ae5d56,United States,41.88,False
3443cc,Spain,16.46,False
ac71e7,United States,208.82,False
3c4b4e,Germany,67.09,False
40823c,United Kingdom,224.87,False
801792,India,209.67,False
3c4b4c,Germany,221.25,False
ac247a,United States,128.18,False
758403,Philippines,189.89,False
ada5ee,United States,240.64,False
a2e81c,United States,47.38,False
782079,China,235.73,False
abb595,United States,245.7,False
a9af89,United States,179.42,False
0a004a,Algeria,236.91,False
a248cc,United States,148.04,False
3443d4,Spain,69.99,False
ac22fb,United States,242.43,False
3443d3,Spain,220.37,False
a30849,United States,91.11,False
a34eb4,United States,47.93,False
0ac3f9,Colombia,131.8,False
a248d2,United States,62.09,False
0ac3f8,Colombia,109.98,False
a2ce02,United States,47.92,False
c01040,Canada,216.44,False
0d10b2,Mexico,57.7,False
a7003d,United States,95.51,False
acc22d,United States,32.94,False
addb2b,United States,236.68,False
a84699,United States,137.76,False
